"id","year","Asy.Seekers","iso3.Origin","iso3.Dest","name.Origin","name.Dest","pop.Origin","Asy.Seek.Rate","mig.in.eu","dept.ord","gdp.Origin","ucdp.b.death.Origin","gdp.Dest","ucdp.b.death.Dest","geo","o.d.gog","o.o.gog","tr.d.gog","tr.tr.gog"
"AFG-AUT",2014,4921,"AFG","AUT","Afghanistan","Austria",32716210,0.000150414733246913,18227,1,628.146803888496,12549,51786.3771747905,0,"AFG",0.0351626631940458,60.5152989750243,0.418306242523729,65.9999999999999
"AFG-AUT",2015,24846,"AFG","AUT","Afghanistan","Austria",33753499,0.000736101463140162,20350,416,592.476537451681,17987,44195.8175947748,0,"AFG",0.0465552067469332,59.5136664402652,0.477864858783453,72.9999999999999
"AFG-AUT",2016,11526,"AFG","AUT","Afghanistan","Austria",34636207,0.000332773158446593,36608,431,520.252064031151,18719,45307.5878620429,0,"AFG",0.0362842324931699,56.1748913244019,0.516636246148988,77.3333333333333
"AFG-AUT",2017,3521,"AFG","AUT","Afghanistan","Austria",35643418,9.87840167292598e-05,44685,1316,530.149830802984,19776,47429.1584564387,0,"AFG",0.0359817679323887,53.336932475918,0.485513983522761,53.9166666666667
"AFG-AUT",2018,1766,"AFG","AUT","Afghanistan","Austria",36686784,4.81372256559746e-05,44357,2746,502.056770622973,26889,51466.5565633634,0,"AFG",0.0394009948618327,52.8361162085385,0.514596553727509,59.8333333333333
"AFG-AUT",2019,2586,"AFG","AUT","Afghanistan","Austria",37769499,6.84679455239796e-05,43074,3766,500.522664145294,30435,50070.4033482901,0,"AFG",0.0369572123934313,54.9228506559531,0.609766311600984,68.8333333333333
"AFG-AUT",2020,2831,"AFG","AUT","Afghanistan","Austria",38972230,7.26414680401917e-05,42191,1541,516.866552182696,20838,48809.2268762243,4,"AFG",0.0307656415619673,51.5840755400897,0.473318817370181,68.1666666666667
"AFG-AUT",2021,8056,"AFG","AUT","Afghanistan","Austria",40099462,0.000200900450983607,42151,871,368.754614175459,36375,53637.7057109897,0,"AFG",0.045437916181204,53.9212181211941,0.577812043218426,76.6666666666666
"AFG-AUT",2022,23656,"AFG","AUT","Afghanistan","Austria",40099462,0.000589933101845606,43003,NA,NA,NA,NA,NA,"AFG",0.042526438611837,52.5857080748487,0.769440483091959,78.6666666666667
"AFG-BEL",2010,1236,"AFG","BEL","Afghanistan","Belgium",28189672,4.38458453862109e-05,4245,681,554.595200222354,7151,44184.946353964,0,"AFG",0.095660022821202,68.6118286309931,0.880835089169397,74.1666666666666
"AFG-BEL",2011,2776,"AFG","BEL","Afghanistan","Belgium",29249157,9.49087182239133e-05,7274,736,621.912310861592,7563,47410.5669277464,0,"AFG",0.0669262633349431,84.6379491871374,0.87771215297828,73.6666666666666
"AFG-BEL",2012,2531,"AFG","BEL","Afghanistan","Belgium",30466479,8.30749099690844e-05,9699,1536,663.141052810937,7824,44670.5606845101,0,"AFG",0.0641850219937146,71.3663181015803,0.911272128319869,65.2499999999999
"AFG-BEL",2013,916,"AFG","BEL","Afghanistan","Belgium",31541209,2.9041372510483e-05,11550,1921,651.987861948108,8131,46757.9518559598,0,"AFG",0.072288634227337,63.6871353350946,0.890394556823445,63.5833333333333
"AFG-BEL",2014,801,"AFG","BEL","Afghanistan","Belgium",32716210,2.44832760273883e-05,11681,731,628.146803888496,12549,47764.0715120833,0,"AFG",0.0716106435906821,60.5152989750243,0.938417244515741,65.9999999999999
"AFG-BEL",2015,7736,"AFG","BEL","Afghanistan","Belgium",33753499,0.000229191053644542,12820,841,592.476537451681,17987,41008.296719472,0,"AFG",0.0896417420775773,59.5136664402652,1.01752907754888,72.9999999999999
"AFG-BEL",2016,2221,"AFG","BEL","Afghanistan","Belgium",34636207,6.41236495670557e-05,20445,1411,520.252064031151,18719,42012.6227191016,34,"AFG",0.0825868829022201,56.1748913244019,1.09234784823875,77.3333333333333
"AFG-BEL",2017,996,"AFG","BEL","Afghanistan","Belgium",35643418,2.79434480722359e-05,22146,1861,530.149830802984,19776,44198.4823908691,0,"AFG",0.0724519889716295,53.336932475918,0.978768556168581,53.9166666666667
"AFG-BEL",2018,1046,"AFG","BEL","Afghanistan","Belgium",36686784,2.85116296920439e-05,22905,1076,502.056770622973,26889,47544.9811472757,4,"AFG",0.078726398345071,52.8361162085385,1.04138207114929,59.8333333333333
"AFG-BEL",2019,2251,"AFG","BEL","Afghanistan","Belgium",37769499,5.95983547465112e-05,24225,881,500.522664145294,30435,46638.6813054855,0,"AFG",0.0733024022499983,54.9228506559531,1.19570744215708,68.8333333333333
"AFG-BEL",2020,2306,"AFG","BEL","Afghanistan","Belgium",38972230,5.91703374428407e-05,27005,1081,516.866552182696,20838,45517.7949301847,0,"AFG",0.0673798834505437,51.5840755400897,0.906013772126931,68.1666666666667
